Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PT_DIFF
LAC,LAC @ POR,11/20/2015,L,240,91,38,86,44.2,7,24,29.2,8,16,50,10,32,42,24,6,5,13,24,-11
MIN,MIN vs. DET,11/20/2015,L,240,86,33,77,42.9,3,13,23.1,17,25,68,6,34,40,17,7,4,17,19,-10
NYK,NYK @ OKC,11/20/2015,W,240,93,33,72,45.8,12,20,60,15,23,65.2,6,30,36,23,10,5,20,20,3
PHI,PHI @ CHA,11/20/2015,L,240,88,32,79,40.5,8,26,30.8,16,22,72.7,9,33,42,21,5,6,18,18,-25
PHX,PHX @ DEN,11/20/2015,W,240,114,40,79,50.6,15,27,55.6,19,25,76,10,32,42,22,7,7,20,26,7
OKC,OKC vs. NYK,11/20/2015,L,240,90,35,92,38,3,29,10.3,17,23,73.9,21,28,49,12,9,4,15,19,-3
TOR,TOR @ LAL,11/20/2015,W,240,102,34,78,43.6,15,33,45.5,19,24,79.2,12,29,41,21,7,3,13,15,11
UTA,UTA @ DAL,11/20/2015,L,240,93,35,80,43.8,6,20,30,17,21,81,18,30,48,14,4,2,17,24,-9
MEM,MEM vs. HOU,11/20/2015,W,240,96,36,85,42.4,8,24,33.3,16,19,84.2,8,39,47,26,16,4,12,30,12
GSW,GSW @ LAC,11/19/2015,W,240,124,38,73,52.1,17,30,56.7,31,36,86.1,8,36,44,31,4,4,19,20,7
LAC,LAC vs. GSW,11/19/2015,L,240,117,44,88,50,13,29,44.8,16,24,66.7,9,26,35,21,11,2,11,25,-7
CLE,CLE vs. MIL,11/19/2015,W,240,115,40,71,56.3,11,24,45.8,24,30,80,13,30,43,29,3,2,17,24,15
MIA,MIA vs. SAC,11/19/2015,W,240,116,42,89,47.2,7,24,29.2,25,33,75.8,12,29,41,25,11,7,7,15,7
SAC,SAC @ MIA,11/19/2015,L,240,109,43,84,51.2,12,23,52.2,11,20,55,9,33,42,25,3,3,18,27,-7
MIL,MIL @ CLE,11/19/2015,L,240,100,38,73,52.1,3,8,37.5,21,26,80.8,6,16,22,22,8,2,11,29,-15
BOS,BOS vs. DAL,11/18/2015,L,240,102,38,92,41.3,8,26,30.8,18,24,75,14,29,43,22,12,1,14,28,-4
BKN,BKN @ CHA,11/18/2015,L,240,111,44,91,48.4,5,15,33.3,18,22,81.8,5,32,37,25,5,4,9,23,-5
ORL,ORL vs. MIN,11/18/2015,W,265,104,41,110,37.3,9,21,42.9,13,21,61.9,20,34,54,20,10,4,9,21,3
PHX,PHX vs. CHI,11/18/2015,L,240,97,37,91,40.7,8,27,29.6,15,21,71.4,14,29,43,16,12,4,12,14,-6
POR,POR @ HOU,11/18/2015,L,265,103,35,88,39.8,9,30,30,24,29,82.8,10,38,48,18,11,7,19,27,-5
OKC,OKC vs. NOP,11/18/2015,W,240,110,38,85,44.7,7,17,41.2,27,40,67.5,16,34,50,19,6,4,14,16,7
CHA,CHA vs. BKN,11/18/2015,W,240,116,39,80,48.8,11,25,44,27,36,75,9,40,49,27,5,8,16,16,5
ATL,ATL vs. SAC,11/18/2015,W,240,103,38,89,42.7,9,30,30,18,24,75,12,33,45,23,9,6,12,15,6
NOP,NOP @ OKC,11/18/2015,L,240,103,43,95,45.3,8,32,25,9,9,100,10,30,40,21,8,4,11,25,-7
CHI,CHI @ PHX,11/18/2015,W,240,103,41,83,49.4,9,19,47.4,12,14,85.7,11,36,47,24,7,2,20,17,6
DAL,DAL @ BOS,11/18/2015,W,240,106,37,72,51.4,7,20,35,25,35,71.4,7,32,39,22,7,7,17,22,4
DEN,DEN @ SAS,11/18/2015,L,240,98,38,98,38.8,5,15,33.3,17,18,94.4,17,33,50,25,7,5,6,17,-11
MIN,MIN @ ORL,11/18/2015,L,265,101,36,85,42.4,4,18,22.2,25,30,83.3,11,46,57,21,4,13,16,23,-3
IND,IND @ PHI,11/18/2015,W,240,112,42,92,45.7,12,27,44.4,16,20,80,16,32,48,28,18,8,19,17,27
PHI,PHI vs. IND,11/18/2015,L,240,85,35,76,46.1,5,25,20,10,16,62.5,7,36,43,14,9,8,31,17,-27
SAC,SAC @ ATL,11/18/2015,L,240,97,38,86,44.2,5,16,31.3,16,18,88.9,13,39,52,26,7,1,21,22,-6
SAS,SAS vs. DEN,11/18/2015,W,240,109,42,86,48.8,9,18,50,16,20,80,10,40,50,33,5,13,10,13,11
TOR,TOR @ UTA,11/18/2015,L,240,89,34,80,42.5,5,20,25,16,18,88.9,9,28,37,14,10,4,14,17,-4
HOU,HOU vs. POR,11/18/2015,W,265,108,32,92,34.8,14,44,31.8,30,35,85.7,13,38,51,22,11,6,18,20,5
UTA,UTA vs. TOR,11/18/2015,W,240,93,35,72,48.6,7,22,31.8,16,22,72.7,7,34,41,15,9,5,18,20,4
CLE,CLE @ DET,11/17/2015,L,240,99,38,80,47.5,11,33,33.3,12,20,60,3,37,40,21,8,2,14,25,-5
NOP,NOP vs. DEN,11/17/2015,L,240,98,41,83,49.4,7,23,30.4,9,11,81.8,8,25,33,25,4,8,10,17,-17
DEN,DEN @ NOP,11/17/2015,W,240,115,45,85,52.9,15,30,50,10,13,76.9,11,32,43,27,5,6,14,15,17
MIA,MIA vs. MIN,11/17/2015,L,240,91,36,79,45.6,5,24,20.8,14,30,46.7,10,41,51,20,3,12,22,26,-12
NYK,NYK vs. CHA,11/17/2015,W,240,102,36,89,40.4,10,20,50,20,21,95.2,10,35,45,22,4,6,11,20,8
TOR,TOR @ GSW,11/17/2015,L,240,110,37,79,46.8,6,18,33.3,30,39,76.9,12,28,40,18,11,2,20,25,-5
CHA,CHA @ NYK,11/17/2015,L,240,94,36,82,43.9,5,20,25,17,25,68,8,34,42,13,7,7,7,16,-8
ATL,ATL @ BKN,11/17/2015,L,240,88,33,76,43.4,12,29,41.4,10,14,71.4,8,36,44,22,7,7,20,17,-2
GSW,GSW vs. TOR,11/17/2015,W,240,115,43,80,53.8,11,29,37.9,18,27,66.7,9,25,34,31,10,6,20,29,5
MIL,MIL @ WAS,11/17/2015,L,240,86,31,72,43.1,10,21,47.6,14,24,58.3,6,28,34,22,5,3,19,27,-29
