Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PT_DIFF
LAL,LAL vs. DEN,11/03/2015,L,240,109,36,86,41.9,6,26,23.1,31,38,81.6,11,29,40,18,9,4,11,28,-11
MIA,MIA vs. ATL,11/03/2015,L,240,92,38,86,44.2,5,28,17.9,11,16,68.8,13,36,49,13,10,9,19,21,-6
ORL,ORL @ NOP,11/03/2015,W,240,103,42,90,46.7,7,18,38.9,12,12,100,10,45,55,24,5,3,18,18,9
IND,IND @ DET,11/03/2015,W,240,94,38,88,43.2,7,23,30.4,11,12,91.7,12,30,42,21,15,5,16,19,12
DET,DET vs. IND,11/03/2015,L,240,82,33,86,38.4,5,22,22.7,11,17,64.7,19,31,50,14,8,5,23,21,-12
CHA,CHA vs. CHI,11/03/2015,W,240,130,47,91,51.6,14,23,60.9,22,23,95.7,12,40,52,26,6,4,10,11,25
SAC,SAC vs. MEM,11/03/2015,L,240,89,29,74,39.2,7,20,35,24,40,60,8,27,35,17,8,1,14,21,-14
TOR,TOR @ DAL,11/03/2015,W,240,102,37,82,45.1,5,17,29.4,23,26,88.5,10,37,47,18,8,6,16,26,11
MEM,MEM @ SAC,11/03/2015,W,240,103,40,83,48.2,3,20,15,20,25,80,12,38,50,23,5,7,17,31,14
GSW,GSW vs. MEM,11/02/2015,W,240,119,43,84,51.2,11,25,44,22,30,73.3,10,55,65,32,8,13,14,15,50
HOU,HOU vs. OKC,11/02/2015,W,240,110,41,89,46.1,9,29,31,19,29,65.5,7,27,34,22,18,7,12,22,5
MIL,MIL @ BKN,11/02/2015,W,240,103,38,73,52.1,9,23,39.1,18,26,69.2,8,28,36,24,6,7,14,23,7
PHX,PHX @ LAC,11/02/2015,L,240,96,36,98,36.7,9,30,30,15,21,71.4,16,39,55,23,8,1,10,20,-6
SAS,SAS @ NYK,11/02/2015,W,240,94,39,79,49.4,4,13,30.8,12,17,70.6,8,37,45,21,6,7,14,12,10
MEM,MEM @ GSW,11/02/2015,L,240,69,26,96,27.1,3,23,13,14,20,70,11,33,44,21,8,7,12,24,-50
CLE,CLE @ PHI,11/02/2015,W,240,107,42,81,51.9,8,22,36.4,15,20,75,7,36,43,28,5,9,16,19,7
MIN,MIN vs. POR,11/02/2015,L,240,101,34,79,43,3,13,23.1,30,39,76.9,8,33,41,22,10,4,15,22,-5
BKN,BKN vs. MIL,11/02/2015,L,240,96,36,79,45.6,6,19,31.6,18,22,81.8,10,25,35,21,3,4,18,23,-7
NYK,NYK vs. SAS,11/02/2015,L,240,84,32,89,36,4,13,30.8,16,21,76.2,17,32,49,17,8,3,10,18,-10
PHI,PHI vs. CLE,11/02/2015,L,240,100,38,85,44.7,7,24,29.2,17,23,73.9,9,28,37,22,7,5,14,18,-7
POR,POR @ MIN,11/02/2015,W,240,106,41,89,46.1,9,30,30,15,20,75,11,35,46,18,5,6,16,27,5
OKC,OKC @ HOU,11/02/2015,L,240,105,40,84,47.6,10,23,43.5,15,22,68.2,14,41,55,17,7,9,25,24,-5
LAC,LAC vs. PHX,11/02/2015,W,240,102,37,81,45.7,8,26,30.8,20,23,87,3,43,46,20,4,5,11,18,6
ATL,ATL @ CHA,11/01/2015,W,240,94,37,88,42,7,29,24.1,13,14,92.9,9,39,48,22,9,6,11,16,2
BOS,BOS vs. SAS,11/01/2015,L,240,87,35,98,35.7,6,29,20.7,11,14,78.6,16,29,45,21,10,5,16,23,-8
DEN,DEN @ OKC,11/01/2015,L,240,93,35,92,38,9,26,34.6,14,19,73.7,14,21,35,20,8,3,13,17,-24
HOU,HOU @ MIA,11/01/2015,L,240,89,32,79,40.5,10,36,27.8,15,18,83.3,3,31,34,20,9,3,18,23,-20
LAL,LAL vs. DAL,11/01/2015,L,240,93,31,85,36.5,10,34,29.4,21,28,75,8,34,42,18,8,9,12,20,-10
MIL,MIL @ TOR,11/01/2015,L,240,87,29,69,42,5,19,26.3,24,24,100,7,26,33,21,6,8,18,21,-19
TOR,TOR vs. MIL,11/01/2015,W,240,106,41,90,45.6,11,25,44,13,20,65,18,28,46,22,12,3,14,19,19
CHA,CHA vs. ATL,11/01/2015,L,240,92,32,86,37.2,14,37,37.8,14,15,93.3,9,36,45,27,7,13,12,14,-2
CHI,CHI vs. ORL,11/01/2015,W,240,92,33,87,37.9,7,28,25,19,22,86.4,11,36,47,23,7,8,15,16,5
MIA,MIA vs. HOU,11/01/2015,W,240,109,42,86,48.8,9,22,40.9,16,21,76.2,11,37,48,24,11,5,15,16,20
ORL,ORL @ CHI,11/01/2015,L,240,87,35,90,38.9,7,23,30.4,10,17,58.8,12,31,43,21,7,11,17,19,-5
SAS,SAS @ BOS,11/01/2015,W,240,95,36,83,43.4,5,19,26.3,18,25,72,10,41,51,22,10,6,20,16,8
OKC,OKC vs. DEN,11/01/2015,W,240,117,45,86,52.3,13,25,52,14,18,77.8,13,37,50,32,9,10,19,23,24
DAL,DAL @ LAL,11/01/2015,W,240,103,40,87,46,11,30,36.7,12,16,75,8,41,49,28,5,4,11,22,10
NOP,NOP vs. GSW,10/31/2015,L,240,120,46,100,46,8,22,36.4,20,23,87,16,32,48,22,4,4,16,23,-14
LAC,LAC vs. SAC,10/31/2015,W,240,114,39,76,51.3,4,17,23.5,32,46,69.6,6,35,41,25,4,9,17,22,5
BKN,BKN @ MEM,10/31/2015,L,240,91,38,79,48.1,3,13,23.1,12,18,66.7,8,35,43,21,3,3,12,22,-10
SAC,SAC @ LAC,10/31/2015,L,240,109,43,101,42.6,6,18,33.3,17,25,68,19,30,49,20,9,2,14,34,-5
MEM,MEM vs. BKN,10/31/2015,W,240,101,34,80,42.5,9,23,39.1,24,28,85.7,11,31,42,26,6,2,9,19,10
WAS,WAS vs. NYK,10/31/2015,L,240,110,38,90,42.2,6,22,27.3,28,33,84.8,11,32,43,17,9,3,19,32,-7
GSW,GSW @ NOP,10/31/2015,W,240,134,46,84,54.8,17,30,56.7,25,35,71.4,3,35,38,26,10,4,10,24,14
NYK,NYK @ WAS,10/31/2015,W,240,117,41,86,47.7,9,19,47.4,26,32,81.3,9,31,40,21,8,5,19,30,7
IND,IND vs. UTA,10/31/2015,L,240,76,28,70,40,4,17,23.5,16,21,76.2,7,27,34,10,8,7,24,19,-21
PHX,PHX @ POR,10/31/2015,W,240,101,39,94,41.5,11,32,34.4,12,16,75,11,37,48,16,11,6,13,20,11
POR,POR vs. PHX,10/31/2015,L,240,90,33,79,41.8,8,30,26.7,16,28,57.1,10,35,45,20,7,5,16,20,-11
UTA,UTA @ IND,10/31/2015,W,240,97,39,88,44.3,6,15,40,13,18,72.2,15,32,47,15,13,4,17,24,21
HOU,HOU vs. GSW,10/30/2015,L,240,92,30,82,36.6,5,23,21.7,27,36,75,12,37,49,19,3,9,17,20,-20
LAL,LAL @ SAC,10/30/2015,L,240,114,41,89,46.1,11,34,32.4,21,27,77.8,8,29,37,20,7,9,19,24,-18
ORL,ORL vs. OKC,10/30/2015,L,290,136,47,106,44.3,12,33,36.4,30,38,78.9,14,35,49,25,10,10,18,31,-3
POR,POR @ PHX,10/30/2015,L,240,92,34,86,39.5,9,24,37.5,15,19,78.9,11,31,42,17,9,5,23,33,-18
SAC,SAC vs. LAL,10/30/2015,W,240,132,52,101,51.5,6,22,27.3,22,30,73.3,16,40,56,26,6,7,14,23,18
SAS,SAS vs. BKN,10/30/2015,W,240,102,40,86,46.5,9,22,40.9,13,13,100,12,44,56,23,7,4,18,16,27
TOR,TOR @ BOS,10/30/2015,W,240,113,36,82,43.9,11,26,42.3,30,35,85.7,9,44,53,23,11,3,22,33,10
WAS,WAS @ MIL,10/30/2015,W,240,118,35,68,51.5,12,21,57.1,36,44,81.8,8,29,37,25,7,5,21,20,5
DET,DET vs. CHI,10/30/2015,W,265,98,39,104,37.5,6,28,21.4,14,28,50,20,41,61,18,9,2,15,19,4
CHA,CHA @ ATL,10/30/2015,L,240,94,36,88,40.9,12,30,40,10,13,76.9,13,41,54,23,7,6,20,20,-3
BOS,BOS vs. TOR,10/30/2015,L,240,103,32,85,37.6,7,26,26.9,32,41,78,7,31,38,23,14,3,17,28,-10
CLE,CLE vs. MIA,10/30/2015,W,240,102,39,86,45.3,6,25,24,18,21,85.7,14,35,49,25,4,4,11,19,10
CHI,CHI @ DET,10/30/2015,L,265,94,34,84,40.5,7,22,31.8,19,26,73.1,8,42,50,18,8,8,20,24,-4
DEN,DEN vs. MIN,10/30/2015,L,240,78,29,95,30.5,5,25,20,15,20,75,17,34,51,15,7,4,15,27,-17
GSW,GSW @ HOU,10/30/2015,W,240,112,43,93,46.2,9,26,34.6,17,25,68,11,36,47,26,9,4,8,24,20
MIA,MIA @ CLE,10/30/2015,L,240,92,33,77,42.9,6,21,28.6,20,22,90.9,6,32,38,21,5,7,13,20,-10
MIL,MIL vs. WAS,10/30/2015,L,240,113,42,82,51.2,7,24,29.2,22,28,78.6,6,26,32,33,9,2,16,32,-5
MIN,MIN @ DEN,10/30/2015,W,240,95,30,71,42.3,2,11,18.2,33,41,80.5,7,42,49,18,7,6,18,24,17
BKN,BKN @ SAS,10/30/2015,L,240,75,31,77,40.3,5,16,31.3,8,15,53.3,2,30,32,17,6,6,15,17,-27
PHI,PHI vs. UTA,10/30/2015,L,240,71,19,63,30.2,6,15,40,27,37,73,8,31,39,15,4,5,19,22,-28
PHX,PHX vs. POR,10/30/2015,W,240,110,37,83,44.6,4,18,22.2,32,42,76.2,11,44,55,17,13,7,20,17,18
UTA,UTA @ PHI,10/30/2015,W,240,99,36,88,40.9,7,13,53.8,20,25,80,13,38,51,19,10,9,8,22,28
ATL,ATL vs. CHA,10/30/2015,W,240,97,36,83,43.4,8,23,34.8,17,22,77.3,8,37,45,23,9,4,15,17,3
OKC,OKC @ ORL,10/30/2015,W,290,139,50,110,45.5,8,27,29.6,31,38,81.6,22,40,62,19,8,9,21,28,3
DAL,DAL @ LAC,10/29/2015,L,240,88,35,97,36.1,6,30,20,12,15,80,14,41,55,22,4,2,13,26,-16
IND,IND vs. MEM,10/29/2015,L,240,103,37,78,47.4,12,30,40,17,24,70.8,10,28,38,23,7,4,20,22,-9
MEM,MEM @ IND,10/29/2015,W,240,112,41,82,50,7,16,43.8,23,29,79.3,12,30,42,26,12,5,14,25,9
ATL,ATL @ NYK,10/29/2015,W,240,112,42,83,50.6,10,24,41.7,18,26,69.2,7,32,39,26,11,4,16,18,11
LAC,LAC vs. DAL,10/29/2015,W,240,104,38,87,43.7,8,31,25.8,20,33,60.6,8,45,53,21,6,8,8,17,16
NYK,NYK vs. ATL,10/29/2015,L,240,101,38,93,40.9,6,29,20.7,19,21,90.5,16,32,48,21,10,4,21,24,-11
BOS,BOS vs. PHI,10/28/2015,W,240,112,39,85,45.9,8,24,33.3,26,27,96.3,10,31,41,31,10,7,17,23,17
CHI,CHI @ BKN,10/28/2015,W,240,115,42,78,53.8,14,28,50,17,20,85,5,34,39,20,9,3,20,24,15
HOU,HOU vs. DEN,10/28/2015,L,240,85,30,87,34.5,8,35,22.9,17,26,65.4,15,29,44,17,13,8,17,19,-20
LAL,LAL vs. MIN,10/28/2015,L,240,111,35,90,38.9,9,34,26.5,32,35,91.4,12,36,48,18,2,4,14,29,-1
BKN,BKN vs. CHI,10/28/2015,L,240,100,39,93,41.9,0,9,0,22,28,78.6,16,29,45,19,11,5,13,18,-15
NYK,NYK @ MIL,10/28/2015,W,240,122,42,93,45.2,9,23,39.1,29,35,82.9,19,30,49,24,11,7,11,28,25
ORL,ORL vs. WAS,10/28/2015,L,240,87,37,100,37,5,26,19.2,8,12,66.7,17,39,56,20,9,6,16,22,-1
IND,IND @ TOR,10/28/2015,L,240,99,32,86,37.2,9,23,39.1,26,31,83.9,8,32,40,23,14,3,13,30,-7
PHI,PHI @ BOS,10/28/2015,L,240,95,34,83,41,7,22,31.8,20,23,87,14,32,46,12,11,6,24,22,-17
POR,POR vs. NOP,10/28/2015,W,240,112,44,88,50,12,32,37.5,12,14,85.7,6,45,51,22,7,4,12,21,18
TOR,TOR vs. IND,10/28/2015,W,240,106,36,80,45,7,18,38.9,27,39,69.2,9,41,50,19,8,2,21,24,7
UTA,UTA @ DET,10/28/2015,L,240,87,35,75,46.7,2,12,16.7,15,21,71.4,4,34,38,15,4,5,12,25,-5
WAS,WAS @ ORL,10/28/2015,W,240,88,33,84,39.3,7,28,25,15,25,60,15,34,49,17,8,9,18,14,1
DET,DET vs. UTA,10/28/2015,W,240,92,30,74,40.5,7,19,36.8,25,34,73.5,8,35,43,16,2,4,12,20,5
CHA,CHA @ MIA,10/28/2015,L,240,94,33,84,39.3,6,24,25,22,29,75.9,11,32,43,16,4,1,9,16,-10
CLE,CLE @ MEM,10/28/2015,W,240,106,41,84,48.8,13,29,44.8,11,17,64.7,12,42,54,29,7,2,19,25,30
NOP,NOP @ POR,10/28/2015,L,240,94,36,91,39.6,11,33,33.3,11,18,61.1,5,34,39,19,7,2,11,17,-18
DAL,DAL @ PHX,10/28/2015,W,240,111,40,85,47.1,10,21,47.6,21,31,67.7,6,42,48,24,7,3,8,25,16
DEN,DEN @ HOU,10/28/2015,W,240,105,40,79,50.6,13,27,48.1,12,18,66.7,9,40,49,26,9,10,21,26,20
LAC,LAC @ SAC,10/28/2015,W,240,111,42,80,52.5,6,19,31.6,21,31,67.7,6,36,42,20,8,9,15,19,7
MIA,MIA vs. CHA,10/28/2015,W,240,104,36,73,49.3,12,20,60,20,21,95.2,2,39,41,23,5,7,13,25,10
MIL,MIL vs. NYK,10/28/2015,L,240,97,30,86,34.9,9,18,50,28,31,90.3,18,29,47,17,7,4,18,27,-25
MIN,MIN @ LAL,10/28/2015,W,240,112,38,83,45.8,5,20,25,31,37,83.8,6,33,39,24,3,4,8,26,1
PHX,PHX vs. DAL,10/28/2015,L,240,95,34,87,39.1,6,24,25,21,33,63.6,13,40,53,15,3,3,18,30,-16
SAC,SAC vs. LAC,10/28/2015,L,240,104,41,94,43.6,11,24,45.8,11,18,61.1,12,37,49,24,8,3,18,27,-7
SAS,SAS @ OKC,10/28/2015,L,240,106,45,93,48.4,5,15,33.3,11,13,84.6,7,29,36,22,11,9,13,18,-6
OKC,OKC vs. SAS,10/28/2015,W,240,112,42,86,48.8,7,19,36.8,21,22,95.5,11,34,45,21,7,4,19,19,6
MEM,MEM vs. CLE,10/28/2015,L,240,76,29,82,35.4,2,16,12.5,16,22,72.7,11,29,40,15,8,3,16,18,-30
CLE,CLE @ CHI,10/27/2015,L,240,95,38,94,40.4,9,29,31,10,17,58.8,11,39,50,26,5,7,11,21,-2
NOP,NOP @ GSW,10/27/2015,L,240,95,35,83,42.2,6,18,33.3,19,27,70.4,8,25,33,21,9,3,19,26,-16
CHI,CHI vs. CLE,10/27/2015,W,240,97,37,87,42.5,7,19,36.8,16,23,69.6,7,40,47,13,6,10,13,22,2
GSW,GSW vs. NOP,10/27/2015,W,240,111,41,96,42.7,9,30,30,20,22,90.9,21,35,56,29,8,7,20,29,16
DET,DET @ ATL,10/27/2015,W,240,106,37,96,38.5,12,29,41.4,20,26,76.9,23,36,59,23,5,3,15,15,12
ATL,ATL vs. DET,10/27/2015,L,240,94,37,82,45.1,8,27,29.6,12,15,80,7,33,40,22,9,4,15,25,-12
